month,sum
1885-01-31,10306000
1885-02-28,10461000
1885-03-31,11281000
1885-04-30,9983000
1885-05-31,9523000
1885-06-30,9644000
1885-07-31,11821000
1885-08-31,12700000
1885-09-30,12167000
1885-10-31,10771000
1885-11-30,8730000
1885-12-31,9935000
1886-01-31,10929000
1886-02-28,11704000
1886-03-31,12512000
1886-04-30,10442000
1886-05-31,9029000
1886-06-30,11887000
1886-07-31,12606000
1886-08-31,14834000
1886-09-30,12944000
1886-10-31,11583000
1886-11-30,10175000
1886-12-31,10546000
1887-01-31,11808000
1887-02-28,13112000
1887-03-31,14212000
1887-04-30,11556000
1887-05-31,10900000
1887-06-30,11840000
1887-07-31,12714000
1887-08-31,15612000
1887-09-30,13833000
1887-10-31,12392000
1887-11-30,10187000
1887-12-31,9789000
1888-01-31,13509000
1888-02-28,13150000
1888-03-31,11059000
1888-04-30,11176000
1888-05-31,9990000
1888-06-30,10996484
1888-07-31,14163486
1888-08-31,13860000
1888-09-30,12138688
1888-10-31,11978438
1888-11-30,9610437
1888-12-31,10966445
1889-01-31,14037625
1889-02-28,12954630
1889-03-31,13422511
1889-04-30,11962153
1889-05-31,11096791
1889-06-30,10697716
1889-07-31,13791000
1889-08-31,13324514
1889-09-30,12015653
1889-10-31,12201906
1889-11-30,11175885
1889-12-31,10997977
1890-01-31,15223480
1890-02-28,13888075
1890-03-31,12569867
1890-04-30,13617857
1890-05-31,10671516
1890-06-30,14492128
1890-07-31,17173016
1890-08-31,12978335
1890-09-30,15767331
1890-10-31,16093061
1890-11-30,10154328
1890-12-31,10704055
1891-01-31,16794456
1891-02-28,12280373
1891-03-31,10520414
1891-04-30,7711917
1891-05-31,7449775
1891-06-30,9131418
1891-07-31,11303169
1891-08-31,10460330
1891-09-30,9961740
1891-10-31,9337291
1891-11-30,8562785
1891-12-31,9314666
1892-01-31,11960445
1892-02-28,11628815
1892-03-31,10871923
1892-04-30,8879912
1892-05-31,8103436
1892-06-30,9591270
1892-07-31,12295908
1892-08-31,13175485
1892-09-30,11335247
1892-10-31,10341120
1892-11-30,9951385
1892-12-31,10570853
1893-01-31,15291892
1893-02-28,12439280
1893-03-31,12805673
1893-04-30,9717539
1893-05-31,9967707
1893-06-30,9337798
1893-07-31,10220733
1893-08-31,8188632
1893-09-30,7964839
